Date,Open,High,Low,Close,Volume,Market Cap,Rounded Low,Spread (Hi-Low),Spread(Close-Open)
2/5/18,8270.54,8364.84,6756.68,6955.27,12235146915,1.17184E+11,6900,1608.16,-1315.27
2/4/18,9175.7,9334.87,8031.22,8277.01,5630156386,1.39434E+11,8200,1303.65,-898.69
2/3/18,8852.12,9430.75,8251.63,9174.91,6166344342,1.5454E+11,9100,1179.12,322.79
2/2/18,9142.28,9142.28,7796.49,8830.75,10418735070,1.48725E+11,8800,1345.79,-311.53
2/1/18,10237.3,10288.8,8812.28,9170.54,10437874264,1.54429E+11,9100,1476.52,-1066.76
1/31/18,10108.2,10381.6,9777.42,10221.1,7689823496,1.721E+11,10200,604.18,112.9
1/30/18,11306.8,11307.2,10036.2,10106.3,9215469711,1.70152E+11,10100,1271,-1200.5
1/29/18,11755.5,11875.6,11179.2,11296.4,9673896110,1.90164E+11,11200,696.4,-459.1
1/28/18,11475.3,12040.3,11475.3,11786.3,11038244789,1.9839E+11,11700,565,311
1/27/18,11174.9,11614.9,10989.2,11440.7,6929334038,1.92551E+11,11400,625.7,265.8
1/26/18,11256,11656.7,10470.3,11171.4,11742366541,1.87996E+11,11100,1186.4,-84.6
1/25/18,11421.7,11785.7,11057.4,11259.4,9754662057,1.89455E+11,11200,728.3,-162.3
1/24/18,10903.4,11501.4,10639.8,11359.4,11955565338,1.91115E+11,11300,861.6,456
1/23/18,10944.5,11377.6,10129.7,10868.4,11920415582,1.8283E+11,10800,1247.9,-76.1
1/22/18,11633.1,11966.4,10240.2,10931.4,11990946776,1.83866E+11,10900,1726.2,-701.7
1/21/18,12889.2,12895.9,11288.2,11600.1,9135857725,1.95089E+11,11600,1607.7,-1289.1
1/20/18,11656.2,13103,11656.2,12899.2,10643662158,2.16908E+11,12800,1446.8,1243
1/19/18,11429.8,11992.8,11172.1,11607.4,11760289034,1.95159E+11,11600,820.7,177.6
1/18/18,11198.8,12107.3,10942.5,11474.9,15128920554,1.92908E+11,11400,1164.8,276.1
1/17/18,11431.1,11678,9402.29,11188.6,17637597012,1.8807E+11,11100,2275.71,-242.5
1/16/18,13836.1,13843.1,10194.9,11490.5,28204175767,1.93121E+11,11400,3648.2,-2345.6
1/15/18,13767.3,14445.5,13641.7,13819.8,13172946669,2.32243E+11,13800,803.8,52.5
1/14/18,14370.8,14511.8,13268,13772,12266702310,2.31413E+11,13700,1243.8,-598.8
1/13/18,13952.4,14659.5,13952.4,14360.2,12748028051,2.41269E+11,14300,707.1,407.8
1/12/18,13453.9,14229.9,13158.1,13980.6,16490708794,2.34865E+11,13900,1071.8,526.7
1/11/18,14968.2,15018.8,13105.9,13405.8,18718517841,2.25179E+11,13400,1912.9,-1562.4
1/10/18,14588.5,14973.3,13691.2,14973.3,21480822245,2.51473E+11,14900,1282.1,384.8
1/9/18,15123.7,15497.5,14424,14595.4,23699755586,2.45096E+11,14500,1073.5,-528.3
1/8/18,16476.2,16537.9,14208.2,15170.1,28755019697,2.54715E+11,15100,2329.7,-1306.1
1/7/18,17527.3,17579.6,16087.7,16477.6,38152383782,2.76635E+11,16400,1491.9,-1049.7
1/6/18,17462.1,17712.4,16764.6,17527,32777363199,2.94217E+11,17500,947.8,64.9
1/5/18,15477.2,17705.2,15202.8,17429.5,25900974434,2.92544E+11,17400,2502.4,1952.3
1/4/18,15270.7,15739.7,14522.2,15599.2,22292265232,2.61795E+11,15500,1217.5,328.5
1/3/18,14978.2,15572.8,14844.5,15201,20793365454,2.55081E+11,15200,728.3,222.8
1/2/18,13625,15444.6,13163.6,14982.1,21070141546,2.51378E+11,14900,2281,1357.1
1/1/18,14112.2,14112.2,13154.7,13657.2,14286973592,2.29119E+11,13600,957.5,-455
12/31/17,12897.7,14377.4,12755.6,14156.4,13686043242,2.37466E+11,14100,1621.8,1258.7
12/30/17,14681.9,14681.9,12350.1,12952.2,20847802427,2.1724E+11,12900,2331.8,-1729.7
12/29/17,14695.8,15279,14307,14656.2,21928912582,2.45794E+11,14600,972,-39.6
12/28/17,15864.1,15888.4,13937.3,14606.5,22350204742,2.4493E+11,14600,1951.1,-1257.6
12/27/17,16163.5,16930.9,15114.3,15838.5,27522917856,2.65559E+11,15800,1816.6,-325
12/26/17,14036.6,16461.2,14028.9,16099.8,24633024693,2.69908E+11,16000,2432.3,2063.2
12/25/17,13995.9,14593,13448.9,14026.6,19532753166,2.35127E+11,14000,1144.1,30.7
12/24/17,14608.2,14626,12747.7,13925.8,16206983431,2.33414E+11,13900,1878.3,-682.4
12/23/17,13948.7,15603.2,13828.8,14699.2,17876947895,2.46349E+11,14600,1774.4,750.5
12/22/17,15898,15943.4,11833,13831.8,21320968720,2.31788E+11,13800,4110.4,-2066.2
12/21/17,16642.4,17567.7,15342.7,15802.9,21021432317,2.64789E+11,15800,2225,-839.5
12/20/17,17760.3,17934.7,16077.7,16624.6,28925969429,2.78529E+11,16600,1857,-1135.7
12/19/17,19118.3,19177.8,17275.4,17776.7,27921654891,2.97801E+11,17700,1902.4,-1341.6
12/18/17,19106.4,19371,18355.9,19114.2,46053266584,3.20174E+11,19100,1015.1,7.8
12/17/17,19475.8,20089,18974.1,19140.8,37469204186,3.20577E+11,19100,1114.9,-335
12/16/17,17760.3,19716.7,17515.3,19497.4,34015547808,3.26502E+11,19400,2201.4,1737.1
12/15/17,16601.3,18154.1,16601.3,17706.9,35932354892,2.96482E+11,17700,1552.8,1105.6
12/14/17,16384.6,17085.8,16185.9,16564,37521936559,2.7731E+11,16500,899.9,179.4
12/13/17,17500,17653.1,16039.7,16408.2,48353069371,2.74664E+11,16400,1613.4,-1091.8
12/12/17,16919.8,17781.8,16571.6,17415.4,45542037889,2.91484E+11,17400,1210.2,495.6
12/11/17,15427.4,17513.9,15404.8,16936.8,34997845471,2.8344E+11,16900,2109.1,1509.4
12/10/17,15168.4,15850.6,13226.6,15455.4,25646823085,2.58615E+11,15400,2624,287
12/9/17,16523.3,16783,13674.9,15178.2,39313620236,2.53946E+11,15100,3108.1,-1345.1
12/8/17,17802.9,18353.4,14336.9,16569.4,34519751834,2.77186E+11,16500,4016.5,-1233.5
12/7/17,14266.1,17899.7,14057.3,17899.7,41078503263,2.99405E+11,17800,3842.4,3633.6
12/6/17,11923.4,14369.1,11923.4,14291.5,33519822353,2.39024E+11,14200,2445.7,2368.1
12/5/17,11685.7,12032,11604.6,11916.7,27862582838,1.99278E+11,11900,427.4,231
12/4/17,11315.4,11657.2,11081.8,11657.2,24984064000,1.94913E+11,11600,575.4,341.8
12/3/17,11082.7,11858.7,10862,11323.2,18202697113,1.89302E+11,11300,996.7,240.5
12/2/17,10978.3,11320.2,10905.1,11074.6,18449211954,1.85122E+11,11000,415.1,96.3
